Metal,MSD,Lindemann,PMF,Radius_Mismatch,OSSE,Is_Pareto,S_MSD,S_Lind,S_PMF,S_Rad,S_OSSE,Dist,Rank
Pb,17.59958267211914,0.1004699245095253,-13.818281173706055,0.47,0.0,True,1.0,0.6301992241967588,0.6735265527207701,0.381578947368421,0.0,1.275061615727261,14
Rh,49.06333541870117,0.10159847885370255,-13.813780784606934,0.04999999999999993,0.0,True,0.3709048826290149,0.6228878246918779,0.6729132877965607,0.9342105263157896,0.0,1.2842461725126295,15
Mo,49.40074920654297,0.10061431676149368,-13.467089653015137,0.030000000000000027,0.0,True,0.3641585365025827,0.6292637712919013,0.6256699259767533,0.9605263157894737,0.0,1.2974671071139503,16
Ru,49.40074920654297,0.09992947429418564,-13.41535472869873,0.039999999999999925,0.0,True,0.3641585365025827,0.6337005597392026,0.6186200434574678,0.9473684210526316,0.0,1.2987264534892589,17
Pt,48.84025192260742,0.11600152403116226,-14.159631729125977,0.08999999999999997,0.0,False,0.3753652767621932,0.5295769283911524,0.7200421579023972,0.8815789473684211,0.0,1.3053223137733423,18
Ir,49.17766571044922,0.11519709974527359,-13.75738525390625,0.039999999999999925,0.0,False,0.368618930635761,0.5347884340274613,0.6652283076539205,0.9473684210526316,0.0,1.315258919363371,19
Re,48.4014778137207,0.11699939519166946,-13.781208992004395,0.08999999999999997,0.0,False,0.38413824964157817,0.5231121668610499,0.6684747520429168,0.8815789473684211,0.0,1.3155380027539603,20
Os,49.17766571044922,0.11519709974527359,-13.75738525390625,0.08999999999999997,0.0,False,0.368618930635761,0.5347884340274613,0.6652283076539205,0.8815789473684211,0.0,1.3195300252623208,21
Ti,40.07141876220703,0.14851072430610657,-13.838140487670898,0.04999999999999993,0.0,True,0.5506917920281743,0.31896434068490065,0.6762327677624602,0.9342105263157896,0.0,1.332231552894619,22
Fe,61.07052993774414,0.1581064909696579,-14.515268325805664,0.06000000000000005,4.0,True,0.13082966000401652,0.25679765461008,0.7685045120911567,0.9210526315789473,0.3333333333333333,1.346133016632836,23
Sc,41.42741775512695,0.15445144474506378,-13.856801986694336,0.030000000000000027,0.0,True,0.5235795669710865,0.2804770665007822,0.6787757573867297,0.9605263157894737,0.0,1.3599385525186052,24
Gd,41.42886734008789,0.15722204744815826,-15.844836235046387,0.21999999999999997,0.0,True,0.5235505835618764,0.2625275691317436,0.9496838157320191,0.7105263157894737,0.0,1.362789919600475,25
Sr,42.93852233886719,0.09691274166107178,-13.732385635375977,0.45999999999999996,0.0,True,0.4933661171285161,0.653244622986052,0.661821626847982,0.39473684210526316,0.0,1.362947278926803,26
Mn,41.96552276611328,0.1652231216430664,-15.23568058013916,0.10999999999999999,0.0,True,0.5128205441116429,0.21069218326043704,0.8666745940157612,0.8552631578947368,0.0,1.3780693266847344,27
Y,46.01464080810547,0.1596611887216568,-15.462355613708496,0.18000000000000005,0.0,False,0.43186133970927654,0.24672546231127568,0.8975634447840641,0.763157894736842,0.0,1.3988536367744453,28
Hg,50.682674407958984,0.06512872129678726,-11.887348175048828,0.30000000000000004,0.0,True,0.338527363656132,0.8591590939670407,0.4103996423595948,0.6052631578947367,0.0,1.4002956708098546,29
Hf,45.111900329589844,0.16817985475063324,-14.634658813476562,0.010000000000000009,0.0,True,0.4499109866112667,0.19153683013963596,0.7847737716507599,0.9868421052631579,0.0,1.4151699824526391,30
Zr,38.692787170410156,0.17902487516403198,-14.404411315917969,0.0,0.0,True,0.5782565396295875,0.1212767870233663,0.7533981036741313,1.0,0.0,1.4180389721938895,31
